CountyFIPS,County,Agency,Total,Violent,Non-violent,Number of Clearances,Population
34037,Sussex,Netwon PD,133,10,87,80,
34037,Sussex,Ogdensburg PD,16,0,10,5,
34037,Sussex,Sparta PD,95,9,66,50,
34037,Sussex,Stanhope PD,39,3,20,19,
34037,Sussex,State Police Sussex County,462,28,283,151,
34037,Sussex,Sussex,1432,82,927,518,
34037,Sussex,Vernon TWP PD,232,8,191,53,
34039,Union,Berkeley Heights PD,82,3,73,6,
34039,Union,Clark PD,235,5,213,63,
34039,Union,Cranford PD,200,3,175,12,
34039,Union,Elizabeth PD,6825,1034,4595,926,
34039,Union,Fanwood PD,40,2,33,1,
34039,Union,Garwood PD,46,0,45,16,
34039,Union,Hillside PD,714,47,588,67,
34039,Union,Kean University PD,93,0,83,11,
34039,Union,Kenilworth PD,153,8,136,27,
34039,Union,Linden PD,1540,131,1050,325,
34039,Union,Mountainside PD,52,1,51,1,
34039,Union,New Providence PD,62,0,58,4,
34039,Union,Plainfield PD,2113,321,1055,342,
34039,Union,Rahway PD,457,38,295,146,
34039,Union,Roselle Park PD,181,3,138,54,
34039,Union,Roselle PD,492,36,327,108,
34039,Union,Scotch Plains PD,221,10,182,20,
34039,Union,Springfield TWP PD,194,11,142,53,
34039,Union,State Police Union County,22,5,11,5,
34039,Union,Summit PD,232,8,192,60,
34039,Union,Union,15650,1773,10776,2889,
34039,Union,Union CO PD,143,36,45,46,
34039,Union,Union TWP PD,1205,71,983,572,
34039,Union,Westfield PD,288,3,256,8,
34039,Union,Winfield PD,8,0,6,5,
34041,Warren,Alpha PD,52,1,27,6,
34041,Warren,Belvidere PD,65,4,44,30,
34041,Warren,Blairstown TWP PD,41,0,35,4,
34041,Warren,Greenwich TWP PD,170,2,161,115,
34041,Warren,Hackettstown PD,78,3,47,33,
34041,Warren,Independence TWP PD,32,3,26,13,
34041,Warren,Lopatcong TWP PD,119,3,84,22,
34041,Warren,Mansfield TWP PD,121,4,103,55,
34041,Warren,Oxford TWP PD,19,0,15,3,
34041,Warren,Phillipsburg PD,637,24,367,99,
34041,Warren,Pohatcong PD,152,0,147,61,
34041,Warren,State Police Warren County,207,8,129,65,
34041,Warren,Warren,1888,60,1327,568,
34041,Warren,Washington Boro PD,111,3,82,35,
34041,Warren,Washington TWP PD,82,5,58,27,
